Institution,Control,State,Plan,Notes,Resources
Haverford College, Private, PA, Planning for in-person, We expect on-campus learning to resume for the fall semester., https://www.haverford.edu/coronavirus-information
Hawaii Pacific University, Private, HI, Planning for in-person, plans to open August 24 for fall semester, https://www.hpu.edu/about-us/news-and-events/news/2020/05/student-message-coronavirus.html
Heidelberg University, Private, OH, Planning for in-person, planning for in-person, https://www.heidelberg.edu/about/news/2020/heidelberg-announces-plans-to-reopen-this-fall
High Point University, Private, NC, Planning for in-person, preparing to resume in-person classes, http://www.highpoint.edu/studenthealth/coronavirus/
Hillsdale College, Private, MI, Planning for in-person, planning for in-person, https://www.mlive.com/news/jackson/2020/05/i-look-forward-to-seeing-you-on-aug-23-hillsdale-college-president-says-to-students.html
Hiram College, Private, OH, Planning for in-person, planning for in-person, https://docs.google.com/spreadsheets/d/17ky9w6Hg49Qt86_LH4R83O8xUsl2fbk4WRp2Hl8JZNU/edit#gid=0
Hofstra University, Private, NY, Considering a range of scenarios, considering a range of scenarios, https://news.hofstra.edu/2020/05/13/university-coronavirus-update/
Hollins University, Private, VA, Planning for in-person, planning for in-person fall classes, https://www.hollins.edu/coronavirus-preparedness/
Holy Cross College, Private, IN, Planning for in-person, intends to be open for fall semester, https://ndsmcobserver.com/2020/05/holy-cross-announces-intent-to-begin-in-person-instruction-aug-24/
Hope International University, Private, CA, Planning for in-person, planning in-person fall classes, https://www.hiu.edu/about-hiu/news-and-events/news-detail.php?id=438
Hult International Business School, Private, MA, Considering a range of scenarios, considering a range of scenarios for its campuses  both in the U.S. and abroad, https://www.hult.edu/en/announcements/covid19-update/
Huntingdon College, Private, AL, Planning for in-person, plans to start fall semester in-person on August 10, https://www.huntingdon.edu/huntingdon-announces-fall-start-date/
Husson University, Private, ME, Planning for in-person, Husson will be welcoming students back to our campus in the fall  provided health authorities at the local  state and federal level deem it safe to reopen., https://www.husson.edu/covid-19-response
Illinois Institute of Technology, Private, IL, Planning for in-person, anticipating that we will be back on campus  at full force  with in-person classes  labs  and studios, https://www.iit.edu/COVID-19
Illinois State University, Public, IL, Planning for in-person, “ISU fully intends to welcome students back to campus for the 2020-2021 academic year” , https://news.illinoisstate.edu/2020/04/a-message-from-president-dietz-to-faculty-and-staff-4-30-20/
Indiana State University, Public, IN, Planning for in-person, planning a phased return to campus over the summer, https://www.indstate.edu/covid-19
Indiana University, Public, IN, Considering a range of scenarios, Indiana University  Public  IN  Will return to in-person instruction in the fall in a best-case scenario, https://indianapublicmedia.org/news/returning-to-campus-maybe.-iu-president-outlines-5-scenarios-for-fall-semester.php
Iowa Board of Regents, Public, IA, Planning for in-person, planning a full normal operation for its universities — including Iowa State University  the University of Iowa   and the University of Northern Iowa — and in person classes  reopening of residence halls in the fall, https://www.president.iastate.edu/sites/default/files/communications/President's%20Messages/FY20/2020.4.24%20Fall%20Planning.pdf; https://www.desmoinesregister.com/story/news/education/2020/04/25/iowas-colleges-working-full-normal-operation-fall-semester/3023207001/
Ithaca College, Private, NY, Planning for in-person, planning for in-person classes starting in October, https://cnycentral.com/news/local/ithaca-college-to-resume-in-person-classes-october-5th
Ivy Tech Community College, Public, IN, Planning for in-person, planning for in-person, https://www.wishtv.com/news/inside-indiana-business/colleges-prepare-to-reopen-in-the-fall/
Jacksonville University, Private, FL, Considering a range of scenarios, considering a range of scenarios, https://www.ju.edu/emergency/coronavirus/index.php
James Madison University, Public, VA, Planning for in-person, “We are expecting to open as scheduled for in-person classes.”, https://www.jmu.edu/news/covid19/index.shtml
Judson University, Private, IL, Planning for in-person, planning to reopen in the fall with in-person classes and residential students  but will adjust to state requirements if necessary, https://www.judsonu.edu/coronavirus/
Juniata College, Private, PA, Planning for in-person, planning for in-person, https://www.juniata.edu/coronavirus/coronavirus-statement-2020-fall-semester.php
Kansas City Art Institute, Private, MO, Planning for in-person, plans to reopen campus in the fall, https://kcai.edu/about/news-publications/
Kansas State University, Public, KS, Planning for in-person, intends to return to campus in the fall, https://www.k-state.edu/today/announcement/?id=64796
Kean University, Public, NJ, Waiting to decide, waiting to decide, https://www.kean.edu/coronavirus-information
Kent State University, Public, OH, Considering a range of scenarios, planning for a range of scenarios , https://www.kent.edu/kent/thursday-april-30-2020-345-pm
Kenyon College, Private, OH, Planning for in-person, planning for in-person, https://blogs.kenyon.edu/campus-report/post/covid-19-update-planning-for-fall-2020/
Keuka College, Private, NY, Planning for in-person, planning for in-person, https://www.keuka.edu/coronavirus
Knox College, Private, IL, Planning for in-person, plans to welcome students back for in-person classes, https://www.knox.edu/news/president-announces-plans-to-welcome-students-back-for-fall-term
Lafayette College, Private, PA, Waiting to decide, expects a decision by June 15, https://covid19.lafayette.edu/2020/05/07/college-update-and-planning-for-fall/
LaGrange College, Private, GA, Planning for in-person, planning for in-person, https://www.lagrange.edu/News/2020/05/College%20plans%20fall%20return.html#.XrRmoGhKjI
Laguna College of Art and Design, Private, CA, Planning for in-person, planning for in-person instruction, https://my.lcad.edu/wp-content/uploads/2020/03/fall-semester-update-5_4_2020.pdf
Lake Superior State University, Public, MI, Planning for in-person, plans to start fall classes earlier than normal, https://www.freep.com/story/news/education/2020/05/07/lake-superior-state-classes-early-fall-covid/3090060001/
Lander University, Public, SC, Planning for in-person, planning for in-person, https://www.lander.edu/node/19234
Lawrence Technological University, Private, MI, Waiting to decide, intends to welcome students in the fall  but will announce plans on July 1, https://www.ltu.edu/coronavirus/president.asp
Lawrence University, Private, WI, Considering a range of scenarios, considering a range of scenarios, https://blogs.lawrence.edu/covid-19/2020/05/11/looking-forward-to-fall-a-message-from-president-burstein/
Lee University, Private, TN, Planning for in-person, planning for in-person , https://www.juniata.edu/coronavirus/coronavirus-statement-2020-fall-semester.php
Lehigh University, Private, PA, Waiting to decide, will decide by June 15, https://www2.lehigh.edu/news/5620-updated-information-on-planning-for-the-fall-semester-from-president-simon
LeTourneau University, Private, TX, Planning for in-person, planning for in-person, https://www.letu.edu/wbi.html
Lewis and Clark College, Private, OR, Planning for in-person, Planning for in-person fall classes, https://college.lclark.edu/live/news/43420-fall-semester-academic-plans-for-the-college-of
Lewis College, Private, IL, Planning for in-person, planning for in-person, https://lincolncollege.edu/lincoln-college-is-making-plans-to-resume-in-person-classes-for-fall-2020/
Lewis University, Private, IL, Planning for in-person, planning for in-person, https://www.lewisu.edu/returntocampus/
Lewis-Clark State College, Public, ID, Planning for in-person, planning for in-person, https://www.lcsc.edu/communications/coronavirus
Life Pacific University, Private, CA, Planning for in-person, planning for in-person, https://www.lifepacific.edu/article/life-pacific-university-commits-open-university-safely-fall
Lindenwood University, Private, MO, Planning for in-person, isn’t offering seated classes until at least August 9, https://www.lindenwood.edu/student-life/health-wellness/coronavirus/
Lipscomb, Private, TN, Planning for in-person, planning on being open for fall semester, https://www.lipscomb.edu/news/lipscomb-university-announces-intentions-return-campus-classes-fall
Longwood University, Public, VA, Planning for in-person, exploring how it can “safely reopen for in-person learning in the upcoming fall semester”, http://www.longwood.edu/news/2020/longwood-announces-leadership-team/
Loras College, Private, IA, Planning for in-person, planning for in-person classes, https://myweb.loras.edu/Loras/PDF/CoronavirusEmail5-13-2020.pdf
Los Angeles Community College District, Public, CA, Planning for online, planning for online, http://www.laccd.edu/Documents/NewsDocuments/Chancellors%20Updated%20Message%2 0to%20LACCD%20Community.pdf
Los Angeles Pierce College, Public, CA, Planning for online, planning for online, http://www.piercecollege.edu/offices/covid-19/subpage1.asp
Louisiana College, Private, LA, Planning for in-person, plans to have on-campus fall classes, https://www.lacollege.edu/news/lc-campus-opens-for-fall-semester/
Loyola Marymount University, Private, CA, Planning for in-person, planning for an in-person fall semester, https://www.lmu.edu/coronavirus/communitymessages/messagefromtheprovosttostudentsinformationaboutfallsemester2020/
Loyola University Chicago, Private, IL, Considering a range of scenarios, planning a range of scenarios, https://www.luc.edu/coronavirus/#recent_changes
Loyola University Maryland, Private, MD, Planning for in-person, expects to reopen campus in the fall, https://thegreyhound.org/site/2020/04/29/planning-for-reopening-begins-at-loyola/
Lubbock Christian University, Private, TX, Planning for in-person, planning for in-person fall classes, https://lcu.edu/resources/health-and-safety/medical-clinic/coronavirus/
Luther College, Private, IA, Planning for in-person, planning for in-person with a modified calendar, https://www.luther.edu/headlines/?story_id=910677
Lycoming College, Private, PA, Planning for in-person, planning for in-person, https://www.lycoming.edu/health-services/coronavirus-covid-19.aspx#resumptionOfResidentialEducation
Macalester College, Private, MN, Planning for in-person, Our strong preference is to complete two full semesters of on-campus instruction  but academic calendar may be tweaked and — only if necessary — instruction could be online, https://www.macalester.edu/news/2020/04/planning-for-fall-2020/
Manhattan College, Private, NY, Planning for in-person, plans to open in the fall, https://manhattan.edu/coronavirus-updates/coronavirus-faq.php
Manhattanville College, Private, NY, Planning for in-person, planning to be back on campus for in-person instruction, https://www.mville.edu/content/covid-19-information-manhattanville-community
Marietta College, Private, OH, Planning for in-person, planning for in-person, https://www.marietta.edu/article/preparing-for-fall-semester
Marquette University, Private, WI, Planning for in-person, “will resume campus operations this fall if governmental and medical authorities say it is safe to do so, https://today.marquette.edu/2020/04/covid-19-update-campus-operations-this-fall-and-new-commencement-date/
Marshall University, Public, WV, Planning for in-person, The university has begun tentative plans to have in-person classes for the fall 2020 semester., https://www.marshall.edu/ucomm/2020/04/27/university-making-tentative-plans-to-offer-on-campus-classes-for-fall-semester/
Mary Baldwin University, Private, VA, Planning for in-person, intends to reopen campus, https://marybaldwin.edu/news/2020/05/06/mary-baldwin-university-announces-intent-open-residential-campus-fall-20/
Marymount Manhattan College, Private, NY, Planning for in-person, plans , https://www.mmm.edu/offices/dow-zanghi-health-center/updates-regarding-coronavirus-covid-19/
Marymount University, Private, VA, Planning for in-person, planning for in-person fall classes, https://www.marymount.edu/Home/News-Events/News?newsId=589
Maryville College, Private, TN, Planning for in-person, “cautiously optimistic” about in-person fall classes, https://www.maryvillecollege.edu/news/2020/3096/mc-39-cautiously-optimistic-39-for-in-person-instruction-this-fall/
Massachusetts Institute of Technology, Private, MA, Waiting to decide, no firm deadline  but hopes for a decision in late late June or early July, https://covid.mit.edu/updates/may-5-town-hall-faq
McMurry University, Private, TX, Planning for in-person, beginning a five-phase plan to fully reopen the campus for fall 2020 with face-to-face classes, https://news.mcm.edu/2020/04/McMurry%20University%20Returns%20To%20Face-to-Face%20Classes.html#.XrnFMBNKhmB
Menlo College, Private, CA, Planning for in-person, planning for in-person with a later start date, https://docs.google.com/document/d/e/2PACX-1vRNO3wQWi8C66GKeK1bJWFcVC73O-ZPevywKWj3cVysjpll_Reywjj9Gowh9jVdIovBPIEbtT70KZw0/pub
Mercyhurst University, Private, PA, Planning for in-person, planning for in-person, https://www.mercyhurst.edu/news/mercyhurst-announces-return-to-in-person-classes-this-fall
Merrimack College, Private, MA, Planning for in-person, planning to be residential and open in the fall, https://www.merrimack.edu/health-alerts/april-19-coronavirus-update/index.php
Miami Dade College, Public, FL, Waiting to decide, waiting to decide, https://news.mdc.edu/we-made-it-to-the-end-of-the-spring-term/
Miami University, Public, OH, Planning for in-person, committed to on-campus instruction in the fall  but planning for alternatives, https://www.miamioh.edu/news/top-stories/2020/04/crawford-community-update.html
Michigan State University, Public, MI, Considering a range of scenarios, planning a range of scenarios, https://president.msu.edu/communications/messages-statements/2020_statements/2020_04_24_reopening_task_force.html
Michigan Technological University, Public, MI, Planning for in-person, planning for in-person, https://www.mtu.edu/flex/
Middle Tennessee State University, Public, TN, Planning for in-person, plans to have on-campus classes in the fall , https://mtsu.edu/coronavirus/archive/post/117/april-30-campus-update-from-president-mcphee
Middlebury College, Private, VT, Planning for in-person, “We are working toward a safe and secure opening of our campus for the fall semester ” with a plan to be announced by June 22., https://www.middlebury.edu/office/announcements/previous-announcements/april-30-2020-letter-president-patton-scenario-planning
Midlands University, Private, NE, Planning for in-person, planning to resume in-person classes in the fall, https://www.midlandu.edu/midland-university-plans-person-classes-fall
Midwestern State University, Public, TX, Planning for in-person, intends to be “fully operational this fall for in-person instruction”, https://msutexas.edu/coronavirus/index.php
Millikin University, Private, IL, Planning for in-person, planning for in-person, https://millikin.edu/covid19update/05-13-2020
Millsaps College, Private, MS, Planning for in-person, planning for in-person, http://www.millsaps.edu/coronavirus/may-4-campus-update.php
Milwaukee School of Engineering, Private, WI, Planning for in-person, planning to reopen in the fall, https://www.msoe.edu/raider-return/
Mississippi College, Private, MS, Planning for in-person, planning to reopen campus in fall, https://www.wjtv.com/news/mississippi-college-to-reopen-campus-fall-2020/
Mississippi State University, Public, MS, Planning for in-person, planning for in-person, https://www.msstate.edu/newsroom/article/2020/05/msu-plans-person-classroom-instruction-fall-2020-semester
Missouri State University, Public, MO, Planning for in-person, planning for an in-person fall semester, https://blogs.missouristate.edu/president/2020/05/05/clifs-notes-for-may-5-2020/?utm_source=feed&utm_medium=feed&utm_campaign=feed
Missouri University of Science and Technology, Public, MO, Planning for in-person, planning for in-person fall classes, https://news.mst.edu/2020/05/missouri-st-plans-to-resume-in-person-classes-this-fall/
Montana State University, Public, MT, Planning for in-person, planning for the return of students in the fall  subject to guidance from a task force, https://mus.edu/coronavirus/healthy-fall2020-taskforce.html
Montclair State University, Public, NJ, Considering a range of scenarios, preparing for “three alternative scenarios”, https://www.montclair.edu/president/state-of-the-university-address-may-6-2020/
Montgomery College, Public, MD, Proposing a hybrid model, href=https://www.montgomerycollege.edu/_documents/coronavirus/fall-schedule-and-new-webpages-05-11-2020.pdf>plans to begin fall classes online  with face-to-face possible if safe , 
Morningside College, Private, IA, Planning for in-person,  plans to be open for fall semester, https://www.morningside.edu/news/from-president-reynders-when-fall-semester-arrives-morningside-will-be-open-ready/
Mount Holyoke, Private, MA, Proposing a hybrid model, reportedly planning hybrid classes, https://www.mtholyoke.edu/health/coronavirus
Mount St. Mary's University, Private, MD, Planning for in-person, plans to resume face-to-face instruction and on-campus classes, https://news.msmary.edu/2020/05/mount-st-marys-to-resume-on-campus-classes-for-fall-2020.html
Mount Union University, Private, OH, Planning for in-person, hopes to resume face-to-face classes in the fall  but planning for alternatives, https://www.mountunion.edu/covid-19
Nazareth College, Private, NY, Planning for in-person, planning for in-person, https://www2.naz.edu/news/archive/2020/May/592/nazareth-college-committed-to-full-on- campus-college-experience-in-fall-2020
New College of Florida, Public, FL, Considering a range of scenarios, considering a range of scenarios, https://www.ncf.edu/emergency-management/campuswide-alerts/
New Jersey Institute of Technology, Public, NJ, Planning for in-person, planning for in-person classes, https://www.njit.edu/update-provost-deek-pandemic-recovery-plan
New Mexico State University, Public, NM, Proposing a hybrid model, plans to return to an adapted model of face-to-face  supplemented with hybrid and online instruction, https://nmsu.edu/coronavirus/#communications
New York Film Academy, Private, NY, Planning for in-person, planning for in-person, https://www.nyfa.edu/about/message-about-coronavirus.php
New York University, Private, NY, Planning for in-person, “proceeding on the basis that it will resume in-person operations” in the fall, https://www.nyu.edu/about/leadership-university-administration/office-of-the-president/communications/taking-stock-the-impact-of-covid-19-and-looking-to-the-future.html
Nicholls State University, Public, LA, Planning for in-person, “In the fall we’re back on our campus.”, https://www.nicholls.edu/2020/04/17/fall-semester-outlook/
Norfolk State University, Public, VA, Planning for in-person, planning for in-person, https://www.google.com/search?client=safari&rls=en&q=norfolk+state+univeristy&ie=UTF-8&oe=UTF-8
North Carolina Central University, Public, NC, Planning for in-person, planning for in-person, https://www.nccu.edu/news/message-chancellor-campus-updates-and-fall-2020-preparations
North Carolina State University, Public, NC, Planning for in-person, We fully expect to have our new and continuing students on campus for the fall semester., https://www.ncsu.edu/coronavirus/preparing-for-what-lies-ahead/
North Central College, Private, IL, Considering a range of scenarios, considering a range of scenarios, https://www.info.northcentralcollege.edu/2020/05/18/irt-fall-planning-document/
North Dakota University system, Public, ND, , intends to have students back in the fall on its 11 campuses:, https://www.inforum.com/news/education/6465252-North-Dakota-University-System-intends-to-have-students-back-on-campus-this-fall
North Dakota University system — Bismarck State College, Public, ND, Planning for in-person, , 
North Dakota University system — Dakota College at Bottineau, Public, ND, Planning for in-person, , 
North Dakota University system — Dickinson State University, Public, ND, Planning for in-person, , 
North Dakota University system — Lake Region State College, Public, ND, Planning for in-person, , 
North Dakota University system — Mayville State University, Public, ND, Planning for in-person, , 
North Dakota University system — Minot State University, Public, ND, Planning for in-person, , 
North Dakota University system — North Dakota State College of Science, Public, ND, Planning for in-person, , 
North Dakota University system — North Dakota State University, Public, ND, Planning for in-person, , 
North Dakota University system — University of North Dakota, Public, ND, Planning for in-person, , 
North Dakota University system — Valley City State University, Public, ND, Planning for in-person, , 
North Dakota University system — Williston State College, Public, ND, Planning for in-person, , 
Northeastern University, Private, MA, Planning for in-person, intends to reopen campuses in the fall, https://news.northeastern.edu/coronavirus/university-messages/our-path-forward/?fbclid=IwAR1FmmFhINnFYwSRBv26i0T2zpE8lJai5fvOEMd2zl0VPuQJufIfB_9wOpQ
Northern Arizona University, Public, AZ, Planning for in-person, planning for on-campus fall classes, https://nau.edu/coronavirus/
Northern Illinois University, Public, IL, Waiting to decide, hopes to announce fall plans within the next two months, https://www.niu.edu/updates/messaging/4-23-20-covid-extension-from-president.html
Northern Michigan University, Public, MI, Planning for in-person, planning for a return to face-to-face instruction, https://news.nmu.edu/node/930
Northwest Missouri State University, Public, MO, Planning for in-person, planning to resume on-campus instruction in the fall, https://www.nwmissouri.edu/media/news/2020/05/05fallclasses.htm
Northwest Nazarene University, Private, ID, Planning for in-person, planning for in-person, https://www.nnu.edu/covid-19-update-returning-in-fall
Northwestern College, Private, IA, Planning for in-person, planning for in-person, https://www.nwciowa.edu/wellness/coronavirus/FAQs
Norwich University, Private, VT, Planning for in-person, intends to be open in the fall, https://www.norwich.edu/news/psa
Nova Southeastern University, Private, FL, Planning for in-person, will resume in-person classes in the fall, https://www.nova.edu/coronavirus/index.html
Oakland University, Public, MI, Proposing a hybrid model, planning for a hybrid approach that includes both face-to-face and remote instruction in the fall, https://www.bridgemi.com/talent-education/first-michigan-college-unveils-fall-plan-masks-tests-some-campus-classes
Oberlin College, Private, OH, Planning for in-person, planning on-campus fall classes with varying start dates, https://www.oberlin.edu/campus-resources/bulletins/update-fall-opening
Ohio Dominican University, Private, OH, Planning for in-person, planning for in-person , https://www.ohiodominican.edu/future-students/odu-news-events/news-item/2020/05/19/ohio-dominican-announces-plans-to-resume-on-campus-instruction-in-fall
Ohio Northern University, Private, OH, Planning for in-person, plans to resume in-person classes, https://www.onu.edu/news/onu-resume-person-education-fall
Ohio State University, Public, OH, Considering a range of scenarios, leaning toward in-person classes  with a final decision by late June, https://www.thelantern.com/2020/04/president-drake-says-on-campus-transition-could-begin-in-coming-weeks/
Ohio University, Public, OH, Planning for in-person, intends to reopen campus in the fall , https://www.ohio.edu/news/2020/05/ohio-university-prepares-open-campuses-fall
Ohio Wesleyan University, Private, OH, Planning for in-person, planning for in-person, https://www.owu.edu/news-media/details/safe-campus-opening-task-force/
Oklahoma State University, Public, OK, Planning for in-person, planning on resuming in-person classes in the fall, https://go.okstate.edu/coronavirus/
Old Dominion University, Public, VA, Planning for in-person, waiting to decide, https://www.odu.edu/emergency/news/2020/2/novel_coronavirus_co/update-31
Oregon State University, Public, OR, Planning for in-person, planning for in-person, https://covid.oregonstate.edu/
Otterbein University, Private, OH, Planning for in-person, Planning to open campus in the fall, https://www.otterbein.edu/news/otterbein-university-will-open-campus-for-fall-semester/
Pace University, Private, NY, Planning for in-person, It is our hope and intention to resume our regular schedule of face-to-face classes across all three of our campuses for fall 2020  the provost wrote. But ultimately that decision will not be ours to make., https://myemail.constantcontact.com/Memo-to-Students--Updates-for-Spring-Semester--Summer-Courses--and-Fall-Planning.html?soid=1103481471610&aid=PmPwvZPaFIM
Pacific Lutheran University, Private, WA, Planning for in-person, plans to return to in-person instruction in the fall, https://www.plu.edu/marcom/news/2020/04/29/whats-happening-this-fall/
Pacific Northwest College of Art, Private, OR, Planning for in-person, planning for in-person, https://vimeo.com/413815925
Pacific School of Religion, Private, CA, Proposing a hybrid model, proposing a hybrid model, https://psr.edu/latest-updates-from-the-president/
Pacific University, Private, OR, Planning for in-person, “We plan to launch our fall terms on campus  with appropriate adjustments.”, https://www.pacificu.edu/about/media/pacific-prepares-fall-2020
Palomar College, Public, CA, Proposing a hybrid model, planning a hybrid model, https://www2.palomar.edu/pages/covid19/majority-of-fall-semester-courses-will-be-online/
Pennsylvania State University, Public, PA, Waiting to decide, expects updates on fall semester by June 15, https://news.psu.edu/story/617879/2020/04/29/administration/penn-state-coronavirus-task-groups-continue-future-focused
Pepperdine University, Private, CA, Planning for in-person, planning for in-person instruction, https://emergency.pepperdine.edu/2020/05/15/a-message-from-president-gash-pepperdine-restoration-plan/
Point Loma Nazarene University, Private, CA, Planning for in-person, planning for in-person, https://www.pointloma.edu/coronavirus-covid-19-information/frequently-asked-questions
Pomona College, Private, CA, Waiting to decide, waiting to decide, https://www.pomona.edu/coronavirus/updates/posts/planning-fall-semester-5720
Portland Community College, Public, OR, Planning for online, all fall classes will be taught online, https://www.pcc.edu/coronavirus/
Portland State University, Public, OR, Waiting to decide, waiting to decide  with recommendations coming by May 22, https://www.pdx.edu/coronavirus-response
Pratt Institute, Private, NY, Waiting to decide, waiting to decide, https://giving.pratt.edu/emailviewonwebpage.aspx?erid=10690993&trid=e1068be3-e9c1-4b05-8af0-0271fc616de8
Presbyterian College, Private, SC, Planning for in-person, planning for in-person, http://www.indexjournal.com/lakelands_connector/presbyterian-college-moves-summer-classes-online-plans-for-on-campus-classes-this-fall/article_07cc3a33-1278-50a5-9191-f3642e5724f0.html
Princeton University, Private, NJ, Waiting to decide, decision expected in early July  asked faculty to assume classes will be online when planning, https://www.princeton.edu/news/2020/05/04/president-eisgruber-writes-princeton-community-about-state-university-and-planning
Purdue University, Public, IN, Planning for in-person, planning to start fall semester in person if testing and contact tracing allows, https://www.purdue.edu/president/messages/campus-community/2020/2004-fall-message.php?_ga=2.109533381.1134557030.1587428196-1139376489.1587428196
Purdue University Fort Wayne, Public, IN, Planning for in-person, considering a range of scenarios, https://www.pfw.edu/microsites/coronavirus/announcements/putting-health-and-safety-first-as-we-plan-ahead-202005111345
Queens University of Charlotte, Private, NC, Considering a range of scenarios, considering a range of scenarios’, https://www.queens.edu/news/2020/health-advisory.html
Quincy University, Private, IL, Planning for in-person, planning for in-person, https://wgem.com/2020/05/13/quincy-university-plans-to-have-face-to-face-classes-this-fall/
Radford University, Public, VA, Planning for in-person, will reopen on August 3  with face-to-face instruction beginning on August 24, https://www.radford.edu/content/radfordcore/home/coronavirus/updates/fall-reopening.html
Randolph College, Private, VA, Planning for in-person, planning to resume on-campus  residential operations, https://www.randolphcollege.edu/covid19/
Reed College, Private, OR, Waiting to decide, will announce fall plans by June 30, https://www.reed.edu/coronavirus/communications/may-1-2020-plans-for-reeds-fall-semester.html
Reformed Theological Seminary, Private, Multiple, Planning for in-person, expects to be in-person, https://rts.edu/news/news-institutional/rts-announces-plans-for-fall-2020-classes/
Regis University, Private, CO, Planning for in-person, planning on starting and ending fall semester early, https://www.regis.edu/news/2020/05/fall-semester-to-start-early
Rensselaer Polytechnic Institute, Private, NY, Waiting to decide, waiting to decide, https://covid19.rpi.edu/announcements/hands-experiences
Rhodes College, Private, TN, Waiting to decide, will share plans by May 27, https://t.e2ma.net/message/b27m7b/f9nntxb
Rice University, Private, TX, Proposing a hybrid model, planning a shortened semester with a hybrid approach, https://www.ricethresher.org/article/2020/05/leebron-announces-plan-for-fall-semester
Rider University, Private, NJ, Considering a range of scenarios, considering a range of scenarios,  https://www.rider.edu/news/2020/05/07/letter-president-dellomo-about-formation-fall-2020-planning-task-force 
Roanoke College, Private, VA, Planning for in-person, plans to resume in-person instruction, https://www.roanoke.edu/about/news/maxey_message_fall_2020
Rochester Institute of Technology, Private, NY, Planning for in-person, “optimistic” about being open for fall, https://www.rit.edu/news/eyes-fall-time-creativity
Rockhurst University, Private, MO, Planning for in-person, planning a traditional start to fall semester/, https://twitter.com/RockhurstU/status/1255932257950486528
Roger Williams University, Private, RI, Planning for in-person, planning for in-person, https://pbn.com/rwu-working-on-protocols-to-reopen-campus-in-the-fall/
Rollins College, Private, FL, Planning for in-person, expects fall programs to be “running normally”, https://emergency.rollins.edu/covid19/
Roosevelt University, Private, IL, Considering a range of scenarios, considering a range of scenarios, https://blogs.roosevelt.edu/coronavirus/2020/05/04/new-campus-housing-requirements-and-options/#more-472
Rutgers University, Public, NJ, Considering a range of scenarios, operating remotely, https://nbchancellor.rutgers.edu/status
Sacred Heart University, Private, CT, Planning for in-person, planning for in-person, https://www.sacredheart.edu/offices--departments-directory/health-services/coronavirus/
Sain Mary's University, Private, TX, Planning for in-person, hoping to fully reopen campus by August, https://www.stmarytx.edu/emergency/
Saint Francis University, Private, PA, Planning for in-person, intends to return students to campus in the fall, https://www.francis.edu/coronavirus-updates/
Saint Lawrence University, Private, NY, Considering a range of scenarios, considering a range of scenarios, https://www.stlawu.edu/covid-19/important-updates#Fall2020-Planning
Saint Leo University, Private, FL, Waiting to decide, will decide in the summer, saintleo.edu/coronavirus
Saint Mary's College, Private, IN, Planning for in-person, plans to reopen in the fall, https://www.saintmarys.edu/emergency-info
Samford University, Private, AL, Planning for in-person, plans to resume on-campus classes and reopen residence halls for the fall 2020 semester, https://www.samford.edu/news/2020/04/Samford-Announces-Plans--Fall-2020
San Bernardino Valley College, Public, CA, Proposing a hybrid model, planning for online and hybrid classes, https://www.valleycollege.edu/eSchedule/Online/Schedule/V/2020FA/index.html
Santa Clara University, Private, CA, Planning for in-person, planning for in-person, https://www.scu.edu/kob/fall-2020-update/
Santa Monica College, Private, CA, Planning for online, will hold fall classes online, http://www.smc.edu/ACG/Superintendent-President/Message/Pages/Fall-2020-Update-Watch-We-Miss-You.aspx
Santa Rosa Junior College, Public, CA, Planning for online, will continue remote instruction through the fall semester, https://www.santarosa.edu/
Sarah Lawrence College, Private, NY, Considering a range of scenarios, plans to begin fall semester as scheduled  while exploring a number of scenarios for accomplishing that , https://www.sarahlawrence.edu/status/covid/#accordion-2-1-1-4
School of Visual Arts, Private, NY, Planning for in-person, planning for in-person with limitations, https://sva.edu/features/message-from-sva-about-covid-19-novel-coronavirus
Schreiner University, Private, TX, Planning for in-person, planning for in-person fall classes, https://schreiner.edu/news-schreiner-university-announces-plans-for-fall-2020/
Seattle University, Private, WA, Planning for in-person, intends to reopen campus in the fall, https://www.seattleu.edu/newsroom/stories/seattle-university-intends-to-re-open-for-fall-quarter.html
Seton Hall University, Private, NJ, Planning for in-person, “We have a team in place finalizing plans for our collective return to campus in the fall ” but contingency plans are being made “to ensure we are prepared should the science or government guidance delay a return or require modified approaches.”, https://www.shu.edu/health-intervention-communication/coronavirus-campus-communications.cfm#april27
Shenandoah University, Private, VA, Waiting to decide, plans to make a decision by around July 1, https://www.virginiabusiness.com/article/fall-semester-on-the-minds-of-virginias-colleges-and-universities/
Shepherd University, Public, WV, Considering a range of scenarios, considering a range of scenarios, https://www.shepherd.edu/news/president-hendrix-addresses-staff-council-about-reopening-shepherd-avoiding-layoffs/
Siena College, Private, NY, Planning for in-person, planning for in-person, https://www.siena.edu/offices/health-services/coronavirus/
Siena Heights University, Private, MI, Planning for in-person, plan, https://sienaheights.edu/Siena-Heights-News/ArtMID/2940/ArticleID/710/Siena-Heights-University-Fall-2020-Opening-Statement
Sierra College, Public, CA, Planning for online, announced via Twitter that classes will be remote, https://twitter.com/SierraCollege/status/1254807916701298688
Simmons University, Private, MA, Proposing a hybrid model, planning a hybrid model , https://www.simmons.edu/news/simmons-university-announces-comprehensive-online-undergraduate-experience
Simpson College, Private, IA, Planning for in-person, intends to have in-person fall classes, https://simpson.edu/covid19
Simpson University, Private, CA, Planning for in-person, planning for in-person, https://simpsonunews.com/2020/05/05/simpson-university-announces-intention-to-reopen-campus-in-fall-20/
