state,county,march_case,april_case,may_case,june_case,july_case,march_death,april_death,may_death,june_death,july_death
CA,Mendocino,4.0,12.0,30.0,83.0,299.0,0.0,0.0,0.0,0.0,9.0
CA,Merced,9.0,125.0,285.0,848.0,4065.0,0.0,3.0,7.0,11.0,39.0
CA,Modoc,,,,,2.0,,,,,0.0
CA,Mono,13.0,26.0,35.0,41.0,141.0,0.0,1.0,1.0,1.0,1.0
CA,Monterey,36.0,213.0,509.0,1642.0,4457.0,1.0,5.0,10.0,15.0,26.0
CA,Napa,15.0,68.0,114.0,318.0,867.0,0.0,2.0,3.0,4.0,8.0
CA,Nevada,18.0,41.0,41.0,116.0,293.0,0.0,1.0,1.0,1.0,1.0
CA,Orange,464.0,2421.0,6176.0,13843.0,35778.0,4.0,45.0,146.0,340.0,604.0
CA,Placer,57.0,147.0,214.0,684.0,1822.0,2.0,8.0,9.0,11.0,15.0
CA,Plumas,,4.0,4.0,6.0,25.0,,0.0,0.0,0.0,0.0
CA,Riverside,291.0,4031.0,7486.0,17683.0,36968.0,9.0,149.0,339.0,457.0,688.0
CA,Sacramento,224.0,1077.0,1399.0,3222.0,9663.0,7.0,43.0,57.0,68.0,127.0
CA,San Benito,17.0,51.0,87.0,233.0,609.0,1.0,2.0,2.0,2.0,4.0
CA,San Bernardino,111.0,2058.0,5200.0,12550.0,31688.0,3.0,93.0,204.0,253.0,403.0
CA,San Diego,603.0,3627.0,7448.0,14212.0,28731.0,7.0,140.0,312.0,365.0,558.0
CA,San Francisco,374.0,1502.0,2535.0,3606.0,6426.0,6.0,25.0,41.0,50.0,58.0
CA,San Joaquin,136.0,543.0,858.0,3856.0,11342.0,6.0,25.0,35.0,52.0,151.0
CA,San Luis Obispo,77.0,184.0,270.0,611.0,1740.0,0.0,1.0,1.0,1.0,14.0
CA,San Mateo,309.0,1177.0,2104.0,3170.0,5398.0,6.0,50.0,84.0,108.0,118.0
CA,Santa Barbara,88.0,496.0,1656.0,2933.0,6215.0,0.0,8.0,12.0,29.0,32.0
CA,Santa Clara,848.0,2163.0,2731.0,4231.0,9731.0,29.0,112.0,142.0,157.0,191.0
CA,Santa Cruz,45.0,131.0,212.0,379.0,1076.0,1.0,2.0,3.0,3.0,4.0
CA,Shasta,6.0,31.0,39.0,118.0,360.0,1.0,4.0,4.0,5.0,8.0
CA,Sierra,,,1.0,1.0,1.0,,,0.0,0.0,0.0
CA,Siskiyou,3.0,5.0,7.0,29.0,71.0,0.0,0.0,0.0,0.0,0.0
CA,Solano,48.0,268.0,522.0,1293.0,3525.0,0.0,5.0,22.0,24.0,37.0
CA,Sonoma,73.0,244.0,553.0,1185.0,2842.0,1.0,2.0,4.0,7.0,32.0
CA,Stanislaus,33.0,374.0,718.0,2400.0,8745.0,0.0,13.0,28.0,42.0,104.0
CA,Sutter,9.0,30.0,43.0,190.0,755.0,0.0,2.0,2.0,3.0,6.0
CA,Tehama,,1.0,4.0,63.0,206.0,,1.0,1.0,1.0,1.0
CA,Trinity,,,2.0,3.0,5.0,,,0.0,0.0,0.0
CA,Tulare,43.0,640.0,1852.0,4156.0,9241.0,1.0,40.0,84.0,126.0,173.0
CA,Tuolumne,1.0,4.0,4.0,30.0,134.0,0.0,0.0,0.0,0.0,2.0
CA,Ventura,126.0,535.0,1093.0,2926.0,7161.0,4.0,18.0,33.0,46.0,74.0
CA,Yolo,24.0,164.0,211.0,526.0,1494.0,1.0,16.0,24.0,24.0,41.0
CA,Yuba,6.0,18.0,30.0,75.0,465.0,0.0,1.0,1.0,1.0,4.0
CO,Adams,153.0,1585.0,3224.0,4185.0,5868.0,0.0,63.0,120.0,155.0,168.0
CO,Alamosa,1.0,10.0,74.0,191.0,222.0,0.0,2.0,2.0,3.0,8.0
CO,Arapahoe,308.0,2472.0,4353.0,5202.0,6798.0,0.0,141.0,305.0,344.0,362.0
CO,Archuleta,1.0,8.0,8.0,8.0,31.0,0.0,0.0,0.0,0.0,0.0
CO,Baca,1.0,10.0,12.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0
CO,Bent,,,2.0,4.0,5.0,,,0.0,0.0,0.0
CO,Boulder,100.0,580.0,974.0,1384.0,1864.0,1.0,40.0,64.0,72.0,75.0
CO,Broomfield,18.0,150.0,236.0,298.0,392.0,0.0,9.0,26.0,30.0,32.0
CO,Chaffee,15.0,66.0,72.0,77.0,281.0,1.0,15.0,20.0,19.0,19.0
CO,Cheyenne,,,5.0,5.0,8.0,,,0.0,0.0,0.0
CO,Clear Creek,3.0,13.0,16.0,19.0,26.0,0.0,1.0,1.0,1.0,1.0
CO,Conejos,,,1.0,13.0,23.0,,,0.0,0.0,0.0
CO,Costilla,3.0,3.0,6.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0
CO,Crowley,1.0,2.0,64.0,70.0,72.0,1.0,1.0,1.0,1.0,1.0
CO,Custer,,2.0,2.0,2.0,10.0,,0.0,0.0,0.0,0.0
CO,Delta,1.0,44.0,69.0,83.0,101.0,0.0,1.0,1.0,1.0,1.0
CO,Denver,465.0,3001.0,5690.0,7091.0,9529.0,6.0,154.0,327.0,381.0,411.0
CO,Dolores,,,,,1.0,,,,,0.0
CO,Douglas,121.0,478.0,715.0,951.0,1594.0,0.0,22.0,45.0,52.0,58.0
CO,Eagle,213.0,550.0,587.0,692.0,1006.0,4.0,7.0,8.0,8.0,9.0
CO,El Paso,245.0,934.0,1717.0,2374.0,4477.0,11.0,70.0,88.0,120.0,131.0
CO,Elbert,4.0,29.0,52.0,57.0,83.0,0.0,1.0,2.0,2.0,2.0
CO,Fremont,2.0,22.0,26.0,36.0,101.0,0.0,0.0,0.0,0.0,0.0
CO,Garfield,31.0,93.0,138.0,298.0,682.0,1.0,2.0,2.0,2.0,4.0
CO,Gilpin,,1.0,3.0,7.0,13.0,,0.0,0.0,0.0,0.0
CO,Grand,4.0,5.0,14.0,21.0,41.0,0.0,0.0,0.0,1.0,1.0
CO,Gunnison,80.0,166.0,177.0,187.0,246.0,1.0,5.0,6.0,6.0,6.0
CO,Hinsdale,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,Huerfano,1.0,2.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0
CO,Jackson,,,,2.0,8.0,,,,0.0,0.0
CO,Jefferson,253.0,1338.0,2196.0,2682.0,3821.0,5.0,73.0,171.0,209.0,226.0
CO,Kit Carson,1.0,21.0,26.0,32.0,42.0,0.0,2.0,3.0,3.0,3.0
CO,La Plata,21.0,62.0,80.0,112.0,197.0,0.0,0.0,1.0,1.0,2.0
CO,Lake,,18.0,29.0,51.0,69.0,,0.0,0.0,0.0,0.0
CO,Larimer,92.0,363.0,576.0,736.0,1335.0,4.0,19.0,27.0,29.0,34.0
CO,Las Animas,,3.0,5.0,9.0,15.0,,0.0,0.0,0.0,0.0
CO,Lincoln,1.0,3.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
CO,Logan,5.0,282.0,602.0,637.0,647.0,0.0,1.0,3.0,5.0,5.0
CO,Mesa,12.0,46.0,54.0,96.0,250.0,0.0,0.0,0.0,0.0,2.0
CO,Mineral,1.0,2.0,2.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0
CO,Moffat,4.0,6.0,7.0,14.0,24.0,0.0,0.0,0.0,0.0,1.0
CO,Montezuma,1.0,16.0,43.0,72.0,107.0,0.0,2.0,3.0,3.0,4.0
CO,Montrose,10.0,96.0,169.0,207.0,265.0,0.0,11.0,12.0,12.0,13.0
CO,Morgan,4.0,372.0,628.0,652.0,673.0,0.0,16.0,43.0,46.0,46.0
CO,Otero,3.0,10.0,18.0,22.0,49.0,0.0,1.0,1.0,1.0,4.0
CO,Ouray,,5.0,8.0,11.0,12.0,,1.0,1.0,1.0,1.0
CO,Park,4.0,11.0,23.0,27.0,41.0,0.0,0.0,0.0,0.0,1.0
CO,Phillips,1.0,5.0,13.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0
CO,Pitkin,29.0,65.0,58.0,99.0,162.0,2.0,2.0,2.0,2.0,2.0
CO,Prowers,,1.0,13.0,20.0,47.0,,0.0,0.0,0.0,0.0
