state,county,trump_percent,clinton_percent
Idaho,Twin Falls,0.6637209613710919,0.2086429671286068
Idaho,Valley,0.5432791175920733,0.3576369414843896
Idaho,Washington,0.7369248035914703,0.17418630751964084
Illinois,Adams,0.7132797095552564,0.2402428718975932
Illinois,Alexander,0.5256500351370345,0.44342937456078707
Illinois,Bond,0.6491367861885791,0.2746347941567065
Illinois,Boone,0.5339767836181035,0.3906786661449502
Illinois,Brown,0.7549390500210172,0.20008406893652794
Illinois,Bureau,0.5600748295214532,0.36382837487176395
Illinois,Calhoun,0.6693893426682225,0.28743679502139247
Illinois,Carroll,0.5955674949630625,0.32867696440564137
Illinois,Cass,0.6276346604215457,0.3163544106167057
Illinois,Champaign,0.36416815820491555,0.5471799013402017
Illinois,Christian,0.6819975418849861,0.2582314509347306
Illinois,Clark,0.7091321897073662,0.23675580221997983
Illinois,Clay,0.7907086614173229,0.16062992125984252
Illinois,Clinton,0.7125552557552098,0.2264768356392445
Illinois,Coles,0.5947491195169922,0.3343091067099666
Illinois,Cook,0.20998973879084507,0.7467501152359267
Illinois,Crawford,0.719179651695692,0.22823098075160403
Illinois,Cumberland,0.7555236213400395,0.18519849110831688
Illinois,DeKalb,0.43786697247706424,0.46940366972477066
Illinois,De Witt,0.6730743735914092,0.2532149012329312
Illinois,Douglas,0.6975149957155099,0.2385848941118864
Illinois,DuPage,0.3881227420825666,0.5332055255860382
Illinois,Edgar,0.7170074939667217,0.22774037850882764
Illinois,Edwards,0.829997012249776,0.12966835972512697
Illinois,Effingham,0.7743199500255551,0.1750809245272304
Illinois,Fayette,0.7691184141888368,0.1897756911841419
Illinois,Ford,0.7004377736085053,0.2210756722951845
Illinois,Franklin,0.7009780343113676,0.2526321415210304
Illinois,Fulton,0.5375704247641957,0.38823827308982717
Illinois,Gallatin,0.717399335057259,0.2427041004802364
Illinois,Greene,0.7421665174574754,0.21575649059982094
Illinois,Grundy,0.5789904032362181,0.34707578430950636
Illinois,Hamilton,0.7695631301008161,0.19251080172827653
Illinois,Hancock,0.7049665606841355,0.23451375945619998
Illinois,Hardin,0.7695530726256983,0.19553072625698323
Illinois,Henderson,0.6125639567936327,0.32831154064809553
Illinois,Henry,0.5675039564988029,0.3599805218520472
Illinois,Iroquois,0.7463257807715861,0.19167176974892836
Illinois,Jackson,0.44046796928951537,0.4726002356095381
Illinois,Jasper,0.7739485981308412,0.17990654205607476
Illinois,Jefferson,0.6879816459791752,0.2603094299664686
Illinois,Jersey,0.7049404057865526,0.2437448821763261
Illinois,Jo Daviess,0.5400564672666314,0.393682724545615
Illinois,Johnson,0.7635079651831171,0.18755132205616687
Illinois,Kane,0.4150937716367139,0.5201089737800656
Illinois,Kankakee,0.531212345418032,0.4010358313074728
Illinois,Kendall,0.4670234063651842,0.4655827268134788
Illinois,Knox,0.4827136627253518,0.4533111540709437
Illinois,Lake,0.36164667896678965,0.5637025566684238
Illinois,LaSalle,0.5365378043141749,0.39287940011659933
Illinois,Lawrence,0.7418772563176895,0.21168362323596981
Illinois,Lee,0.5560074891858738,0.3568984440570728
Illinois,Livingston,0.668544108978977,0.2634750147357391
Illinois,Logan,0.6597048625110878,0.2671558745262479
Illinois,McDonough,0.519019248395967,0.4039107852123434
Illinois,McHenry,0.5051992945326279,0.4289453262786596
Illinois,McLean,0.46642450053234796,0.4533851067827394
Illinois,Macon,0.5590095713691219,0.38166874739908446
Illinois,Macoupin,0.6405187835420394,0.29915026833631486
Illinois,Madison,0.5414851857826531,0.3885957028399358
Illinois,Marion,0.6945648354222795,0.25588614267307014
Illinois,Marshall,0.6325200534759359,0.2989639037433155
Illinois,Mason,0.6256552574776442,0.3105149552883133
Illinois,Massac,0.7251234475534939,0.2331288343558282
Illinois,Menard,0.649424405218726,0.27889485801995395
Illinois,Mercer,0.5638709677419355,0.36023460410557184
Illinois,Monroe,0.6525266094864111,0.2859873927870208
Illinois,Montgomery,0.6649714902142086,0.26999537679149327
Illinois,Morgan,0.6132432432432432,0.3172972972972973
Illinois,Moultrie,0.7090561833519019,0.23571542256883654
Illinois,Ogle,0.5932294465341215,0.33274087545984377
Illinois,Peoria,0.4539062201444531,0.48482223609288816
Illinois,Perry,0.6957271896884197,0.24987313508576067
Illinois,Piatt,0.6254440497335702,0.2936278863232682
Illinois,Pike,0.7641434262948207,0.18764940239043826
Illinois,Pope,0.7833800186741363,0.17507002801120447
Illinois,Pulaski,0.6124314442413162,0.3517367458866545
Illinois,Putnam,0.5679845708775313,0.36869173899067825
Illinois,Randolph,0.7061434408905172,0.24228547273495843
Illinois,Richland,0.7468766267568975,0.20614263404476835
Illinois,Rock Island,0.4218833015595212,0.5047035659593087
Illinois,St. Clair,0.4466495272847902,0.5038646541715044
Illinois,Saline,0.7269852424455376,0.22593113141250878
Illinois,Sangamon,0.5077002836144064,0.4158356459597654
Illinois,Schuyler,0.6593521421107628,0.28082549634273773
Illinois,Scott,0.7538343558282209,0.20513803680981596
Illinois,Shelby,0.7474114441416894,0.20781108083560398
Illinois,Stark,0.6481954064892453,0.27378782355085673
Illinois,Stephenson,0.5448065673696112,0.38185125104458534
Illinois,Tazewell,0.6010403726708075,0.32119565217391305
Illinois,Union,0.6782242005388309,0.28136347663113503
Illinois,Vermilion,0.6243702976774615,0.32839385017991496
Illinois,Wabash,0.7406661786237189,0.2106515373352855
Illinois,Warren,0.5475855001921353,0.3826053541693352
Illinois,Washington,0.7501009829002289,0.19496431937525247
Illinois,Wayne,0.8433603679941896,0.1268611548238712
Illinois,White,0.7689161554192229,0.19250170415814588
Illinois,Whiteside,0.4931201626143382,0.4313579860839653
Illinois,Will,0.44107090633557544,0.5049018956211948
Illinois,Williamson,0.6771945246766294,0.26940223533844027
Illinois,Winnebago,0.469892545786308,0.47064438737581943
Illinois,Woodford,0.6648711236407572,0.2563431333064841
Indiana,Adams,0.7370511841100076,0.21428571428571427
Indiana,Allen,0.5704207643216866,0.3763975070852335
Indiana,Bartholomew,0.6352723915050785,0.30289319790704833
Indiana,Benton,0.7034915439170758,0.23458810692853246
Indiana,Blackford,0.6922917958255838,0.2568712543914032
Indiana,Boone,0.6107899807321773,0.3163962956056933
Indiana,Brown,0.6313404657016992,0.3169288860918817
Indiana,Carroll,0.7257896563693162,0.21890547263681592
Indiana,Cass,0.6827362938982335,0.2645506369202618
Indiana,Clark,0.587228967485874,0.36772440221322855
Indiana,Clay,0.7561602552738876,0.20439638361992554
Indiana,Clinton,0.7147285522788204,0.23617627345844505
Indiana,Crawford,0.6564337034617896,0.2880470280862182
Indiana,Daviess,0.7935549777117384,0.16716196136701336
Indiana,Dearborn,0.7551173552340851,0.20356859965814816
Indiana,Decatur,0.763008897276894,0.1906174170935562
Indiana,DeKalb,0.7131700390486333,0.23322683706070288
Indiana,Delaware,0.5377080424617158,0.4023003789641646
Indiana,Dubois,0.6687850280224179,0.26966573258606885
Indiana,Elkhart,0.6379247295444157,0.3160140179795825
Indiana,Fayette,0.7176285414480588,0.23630640083945437
Indiana,Floyd,0.5726653306613226,0.37261189044756177
Indiana,Fountain,0.7557394554191137,0.19701014415376403
Indiana,Franklin,0.7871606283483156,0.17878870425860346
Indiana,Fulton,0.7176976355385718,0.2340577979460234
Indiana,Gibson,0.7156419529837251,0.24031258072849393
Indiana,Grant,0.6719342604298356,0.27694374209860934
Indiana,Greene,0.7446561843344686,0.21223099775378595
Indiana,Hamilton,0.5666165335546105,0.37122056840576706
Indiana,Hancock,0.6930156712086454,0.24609601724662117
Indiana,Harrison,0.6974350684340985,0.257732514279556
Indiana,Hendricks,0.6397252478195847,0.29910401143477283
Indiana,Henry,0.6894070950136443,0.2542297196725378
Indiana,Howard,0.6425915370626714,0.3043997502917786
Indiana,Huntington,0.7261110764819547,0.2185376799850402
Indiana,Jackson,0.7317475672907301,0.21868775963125248
Indiana,Jasper,0.7013006428464643,0.24884138137240244
Indiana,Jay,0.713373403456048,0.2365389431505134
Indiana,Jefferson,0.6309805079740106,0.3194034258712345
Indiana,Jennings,0.7375784753363229,0.21201793721973095
Indiana,Johnson,0.6835488721804511,0.26042105263157894
Indiana,Knox,0.7139082237690126,0.24310389275586491
Indiana,Kosciusko,0.7460104725096621,0.19676474255080414
Indiana,LaGrange,0.7343717332218272,0.2174367551745766
Indiana,Lake,0.3758604408439154,0.5811734300837454
Indiana,LaPorte,0.5018914673804836,0.4379797801030905
Indiana,Lawrence,0.7328216374269005,0.2198203842940685
Indiana,Madison,0.6005676232169026,0.3449331280491198
Indiana,Marion,0.3597408188270617,0.5875150397933615
Indiana,Marshall,0.6795708439331932,0.2653467536776905
Indiana,Martin,0.76876689540445,0.18319817009773343
Indiana,Miami,0.7398753894080997,0.20516243880729862
Indiana,Monroe,0.3522770041400075,0.58534916344476
Indiana,Montgomery,0.729678015307469,0.22182633940353655
Indiana,Morgan,0.756841432225064,0.19309462915601022
Indiana,Newton,0.7035375323554789,0.24227782571182052
Indiana,Noble,0.722202486678508,0.2311426879810539
Indiana,Ohio,0.7250941458404656,0.23485107839780897
Indiana,Orange,0.7083740234375,0.25
Indiana,Owen,0.7190604183709244,0.22741615052004208
Indiana,Parke,0.7388331814038286,0.2189304162868429
Indiana,Perry,0.5656114214773432,0.3801365611421477
Indiana,Pike,0.7358206458089342,0.2169984942278735
Indiana,Porter,0.503070345899728,0.43627412877315713
Indiana,Posey,0.6740996230047325,0.2824256035934868
Indiana,Pulaski,0.7059901080784027,0.2430848140685107
Indiana,Putnam,0.7228678219503908,0.22806659870880056
Indiana,Randolph,0.7187798814304839,0.23388793268311342
Indiana,Ripley,0.7654957064793131,0.19289617486338798
Indiana,Rush,0.7335736068755199,0.21139451067369006
Indiana,St. Joseph,0.4726603670725059,0.47475922224241324
Indiana,Scott,0.6673991869025382,0.29029776947588176
Indiana,Shelby,0.7067911526064243,0.23602311881738358
Indiana,Spencer,0.6585830243511374,0.2867020743561479
Indiana,Starke,0.6901148926945588,0.26978105354433124
Indiana,Steuben,0.6956611286557737,0.257036935328848
Indiana,Sullivan,0.7171398527865405,0.2468746348872532
Indiana,Switzerland,0.6915382535820492,0.25141930251419303
Indiana,Tippecanoe,0.49216987922898503,0.4364072622570583
Indiana,Tipton,0.7442077230359521,0.21131824234354193
Indiana,Union,0.7429352780309936,0.21725919173503494
Indiana,Vanderburgh,0.5585115919842222,0.3934792502792834
Indiana,Vermillion,0.6503818994091367,0.29989912091079407
Indiana,Vigo,0.5509317394143353,0.4000954342257271
Indiana,Wabash,0.7292099792099792,0.2240867240867241
Indiana,Warren,0.7374045801526717,0.21348600508905852
Indiana,Warrick,0.645949508263206,0.307073574639224
Indiana,Washington,0.7212264979792655,0.23159374450887366
Indiana,Wayne,0.6266077641815552,0.3253450095781696
Indiana,Wells,0.7588168373151308,0.19613196814562003
Indiana,White,0.6856659703571073,0.25763453695414307
Indiana,Whitley,0.7270050566472509,0.2162836843115919
Iowa,Adair,0.6457622671214904,0.2972972972972973
Iowa,Adams,0.6623931623931624,0.26828110161443497
Iowa,Allamakee,0.5912176801964466,0.3497038855987289
Iowa,Appanoose,0.6572685788787483,0.29563233376792697
Iowa,Audubon,0.6260257913247362,0.31652989449003516
Iowa,Benton,0.5946258306847731,0.3379081190407397
Iowa,Black Hawk,0.42661284061796445,0.5004735657169475
Iowa,Boone,0.5271907579599887,0.3903212172442942
Iowa,Bremer,0.5324272418377899,0.3956271236519427
Iowa,Buchanan,0.537456106125634,0.3872415138509559
Iowa,Buena Vista,0.5922928243537087,0.34501087219135057
Iowa,Butler,0.6549980034606682,0.28710235591641153
Iowa,Calhoun,0.6722232990889707,0.2709827485946889
Iowa,Carroll,0.6295523520485584,0.31382776934749623
Iowa,Cass,0.6682105263157895,0.27382456140350875
Iowa,Cedar,0.5549732732417986,0.377214128498061
Iowa,Cerro Gordo,0.506030916612236,0.42943609841062486
Iowa,Cherokee,0.6698625759028444,0.2682965803771173
Iowa,Chickasaw,0.5815073815073815,0.35213675213675216
Iowa,Clarke,0.6091154018859453,0.3289178266726538
Iowa,Clay,0.6820239062318673,0.26099570616223744
Iowa,Clayton,0.5824296198926499,0.35458429181728557
Iowa,Clinton,0.48883686651926994,0.4376381844193003
Iowa,Crawford,0.6657534246575343,0.28709444844989185
