CHE_name,CNES_name,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,control,state,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020
School of the Art Institute of Chicago,School of the Art Institute of Chicago,"36 S Wabash, Chicago, Illinois 60603",City: Large,Yes,41941035.0,16383.0,8140539.00 ,7314.00 ,2983,699,729,4,Privatenot-for-profit,IL,60603,Chicago,Cook County,0.0,0.0,0,0,0,0,48350.0,66505.0,42904.0,940.0
Schreiner University,Schreiner University,"2100 Memorial Blvd, Kerrville, Texas 78028-5697",Town: Remote,Yes,19037036.0,15477.0,6379891.00 ,7367.00 ,1257,85,122,4,Privatenot-for-profit,TX,78028,Kerrville,Kerr County,0.0,0.0,0,0,0,0,27770.0,39672.0,22752.0,570.0
Scottsdale Community College,Scottsdale Community College,"9000 E Chaparral Rd, Scottsdale, Arizona 85256",Rural: Fringe,No,6716757.0,3248.0,3001413.00 ,3970.00 ,8602,0,445,2,Public,AZ,85256,Scottsdale,Maricopa County,7866.0,2082.0,0,0,0,0,0.0,17932.75,,
Scripps College,Scripps College,"1030 North Columbia Avenue, Claremont, California 91711-3905",Suburb: Large,Yes,19277625.0,31603.0,1537921.00 ,5010.00 ,1089,20,138,4,Privatenot-for-profit,CA,91711,Claremont,Los Angeles County,0.0,0.0,0,0,0,0,54040.0,72717.0,41286.0,0.0
Seattle Central College,Seattle Central College,"1701 Broadway Avenue, Seattle, Washington 98122",City: Large,No,13206711.0,6854.0,2818744.00 ,6480.00 ,6743,0,444,4,"primarilyassociate's,Public",WA,98122,Seattle,King County,0.0,0.0,0,0,0,0,3792.0,18320.5,,
Seattle Pacific University,Seattle Pacific University,"3307 3rd Ave W, Seattle, Washington 98119-1997",City: Large,Yes,71956511.0,26484.0,11289385.00 ,6772.00 ,2717,812,419,4,Privatenot-for-profit,WA,98119,Seattle,King County,0.0,0.0,0,0,0,0,41962.5,57920.5,30636.0,0.0
Selma University,Selma University,"1501 Lapsley St, Dinkins Hall, Selma, Alabama 36701",Town: Distant,No,1365280.0,6095.0,2042500.00 ,9500.00 ,310,13,7,4,Privatenot-for-profit,AL,36701,Selma,Dallas County,0.0,0.0,0,0,0,0,7230.0,14430.0,1800.0,80.0
Seminar L'moros Bais Yaakov,Seminar L'moros Bais Yaakov,"4409 15th Ave, Brooklyn, New York 11219",City: Large,No,1908638.0,6040.0,0.00 ,_,547,0,38,2,Privatenot-for-profit,NY,11219,Brooklyn,Kings County,0.0,0.0,0,0,0,0,9295.0,27210.75,,
Seminary Bnos Chaim,Seminary Bnos Chaim,"269 Miller Road, Lakewood, New Jersey 08701-2336",City: Small,No,834385.0,5676.0,0.00 ,_,200,0,14,2,Privatenot-for-profit,NJ,8701,Lakewood,Ocean County,0.0,0.0,0,0,0,0,10182.5,19182.5,,
Seminole State College,Seminole State College,"2701 Boren Blvd, Seminole, Oklahoma 74868-1901",Town: Distant,Yes,6413112.0,5353.0,2132768.00 ,5642.00 ,1531,0,84,2,Public,OK,74868,Seminole,Seminole County,10676.25,4702.5,0,0,0,0,0.0,18755.0,,
Seminole State College of Florida,Seminole State College of Florida,"100 Weldon Blvd, Sanford, Florida 32773-6199",City: Small,No,28199862.0,3744.0,18575497.00 ,5700.00 ,17754,0,750,4,"primarilyassociate's,Public",FL,32773,Sanford,Seminole County,11456.0,3131.0,0,0,0,0,0.0,14199.0,,
Seton Hall University,Seton Hall University,"400 S Orange Ave, South Orange, New Jersey 07079-2697",Suburb: Large,Yes,140147002.0,25366.0,20819171.00 ,6607.00 ,6102,4117,1057,4,Privatenot-for-profit,NJ,7079,South Orange,Essex County,0.0,0.0,0,0,0,0,41449.0,58782.0,23580.0,770.0
Seton Hill University,Seton Hill University,"1 Seton Hill Drive, Greensburg, Pennsylvania 15601",Suburb: Large,Yes,36644482.0,22975.0,8102370.00 ,6636.00 ,1728,345,215,4,Privatenot-for-profit,PA,15601,Greensburg,Westmoreland County,0.0,0.0,0,0,0,0,35196.0,50641.5,14652.0,550.0
Sh'or Yoshuv Rabbinical College,Sh'or Yoshuv Rabbinical College,"1 Cedarlawn Avenue, Lawrence, New York 11559-1714",Suburb: Large,Yes,806147.0,8143.0,0.00 ,_,162,9,24,4,Privatenot-for-profit,NY,11559,Lawrence,Nassau County,0.0,0.0,0,0,0,0,9735.0,19960.0,10000.0,560.0
Shasta Bible College and Graduate School,Shasta Bible College and Graduate School,"2951 Goodwater Ave., Redding, California 96002",City: Small,Yes,183750.0,4966.0,57247.00 ,4771.00 ,29,12,17,4,Privatenot-for-profit,CA,96002,Redding,Shasta County,0.0,0.0,0,0,0,0,12535.0,22256.0,6750.0,860.0
Shasta College,Shasta Bible College and Graduate School,"2951 Goodwater Ave., Redding, California 96002",City: Small,Yes,183750.0,4966.0,57247.00 ,4771.00 ,29,12,17,4,Privatenot-for-profit,CA,96002,Redding,Shasta County,0.0,0.0,0,0,0,0,12535.0,22256.0,6750.0,860.0
Shaw University,Shaw University,"118 East South Street, Raleigh, North Carolina 27601",City: Large,Yes,13067556.0,10685.0,8488190.00 ,7558.00 ,1174,117,117,4,Privatenot-for-profit,NC,27601,Raleigh,Wake County,0.0,0.0,0,0,0,0,16480.0,29467.0,10404.0,2784.0
Shawnee Community College,Shawnee Community College,"8364 Shawnee College Rd, Ullin, Illinois 62992",Rural: Remote,No,5843266.0,7608.0,0.00 ,_,1083,0,77,2,Public,IL,62992,Ullin,Pulaski County,6123.0,5683.0,0,0,0,0,0.0,23502.0,,
Shawnee State University,Shawnee State University,"940 Second St, Portsmouth, Ohio 45662",Town: Fringe,Yes,15119458.0,6159.0,11352843.00 ,6374.00 ,3466,175,328,4,Public,OH,45662,Portsmouth,Scioto County,14073.75,7906.25,9227,21897,736,736,0.0,21802.0,,
Shelton State Community College,Shelton State Community College,"9500 Old Greensboro Rd, Tuscaloosa, Alabama 35405-8522",City: Midsize,No,12165313.0,4903.0,0.00 ,_,4201,0,214,2,Public,AL,35405,Tuscaloosa,Tuscaloosa County,8188.5,4326.0,0,0,0,0,0.0,17163.5,,
Shenandoah University,Shenandoah University,"1460 University Dr, Winchester, Virginia 22601-5195",City: Small,Yes,39466534.0,20085.0,10186355.00 ,7163.00 ,2040,1751,507,4,Privatenot-for-profit,VA,22601,Winchester,Winchester city,0.0,0.0,0,0,0,0,32238.0,46615.5,21400.0,1265.0
Shippensburg University of Pennsylvania,Shippensburg University of Pennsylvania,"1871 Old Main Drive, Shippensburg, Pennsylvania 17257-2299",Town: Fringe,Yes,23486800.0,6951.0,24103788.00 ,6445.00 ,5274,810,415,4,Public,PA,17257,Shippensburg,Cumberland County,20518.5,12450.0,9288,13932,2682,2682,0.0,28783.5,,
Shoreline Community College,Shoreline Community College,"16101 Greenwood Ave N, Shoreline, Washington 98133-5696",Suburb: Large,Yes,8352818.0,5201.0,2858714.00 ,5931.00 ,5884,0,349,2,Public,WA,98133,Seattle,King County,6591.25,3847.75,0,0,0,0,0.0,19251.0,,
Shorter College,Shorter College,"604 Locust St, N Little Rock, Arkansas 72114",City: Small,No,1437427.0,4506.0,1844476.00 ,6317.00 ,221,0,68,2,Privatenot-for-profit,AR,72114,North Little Rock,Pulaski County,0.0,0.0,0,0,0,0,5226.0,21632.5,,
Shorter University,Shorter University,"315 Shorter Ave, Rome, Georgia 30165",City: Small,Yes,16276291.0,14468.0,6177971.00 ,7294.00 ,1394,93,123,4,Privatenot-for-profit,GA,30165,Rome,Floyd County,0.0,0.0,0,0,0,0,22050.0,34832.5,12360.0,200.0
Siena College,Siena College,"515 Loudon Rd, Loudonville, New York 12211-1462",Suburb: Large,Yes,72840272.0,24835.0,13684429.00 ,6431.00 ,3188,108,335,4,Privatenot-for-profit,NY,12211,Albany,Albany County,0.0,0.0,0,0,0,0,36587.75,54999.25,26757.0,300.0
Siena Heights University,Siena Heights University,"1247 E. Siena Heights Dr., Adrian, Michigan 49221",Town: Distant,Yes,20335330.0,13352.0,13343920.00 ,9951.00 ,2103,234,200,4,Privatenot-for-profit,MI,49221,Adrian,Lenawee County,0.0,0.0,0,0,0,0,26266.0,39384.5,12060.0,386.0
