2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,county,state,2014_pi,2015_pi,2016_pi,2017_pi,2018_pi
775451,1022789,855907,879769,945214,Hansford, TX,365558,437707,300193,335448,344157
194387,205461,205436,203502,193103,Hardeman, TX,150955,153595,150282,150597,149866
1347003,1282714,1249286,1258985,1320027,Hardin, TX,2287409,2389574,2431993,2530607,2630490
343063562,358868375,350522882,351838302,361353488,Harris, TX,242830238,245771961,233826878,250502446,265351328
4298813,4405398,4350017,4419469,4509467,Harrison, TX,2697478,2706751,2602779,2649058,2796985
709141,959518,776267,901759,906563,Hartley, TX,370139,463033,305311,367676,350981
190039,192651,211294,258137,298804,Haskell, TX,200709,196013,192950,194268,200723
5052300,5428938,5709953,5969966,6291164,Hays, TX,6922392,7691712,8268410,8900799,9733094
1424494,1515128,1288646,1202424,1047164,Hemphill, TX,395653,311902,231008,218526,223700
1547036,1567343,1569941,1643810,1680801,Henderson, TX,2864587,2915765,2943612,3079656,3261280
19480087,19570711,20007112,20381184,21017756,Hidalgo, TX,20142665,20950064,21364175,21845363,22869174
848173,865074,890421,907781,922510,Hill, TX,1228474,1267638,1279205,1333459,1425242
2310758,2243591,2089775,2241118,2291133,Hockley, TX,995499,912709,859539,877612,895641
2161522,1973766,1836421,2046183,2180548,Hood, TX,2478234,2551899,2630073,2848923,3071694
1323800,1296179,1285413,1291824,1341445,Hopkins, TX,1309866,1324357,1312703,1373231,1440001
806549,876884,846398,857637,883298,Houston, TX,770201,796897,804078,831394,882307
2868384,3215304,3723152,5093480,6757873,Howard, TX,1314088,1292589,1251797,1332953,1467670
137386,145705,141134,137100,149878,Hudspeth, TX,94875,122416,138232,145557,155701
3086789,3060806,3412827,3469900,3554755,Hunt, TX,2964247,3141194,3292827,3452106,3669530
6458644,4908939,9380312,8903931,7999065,Hutchinson, TX,875989,881323,881369,848110,880768
2002297,2129169,1822057,1845890,1717353,Irion, TX,108197,99599,85162,95598,103994
826824,753797,624966,637510,675495,Jack, TX,413565,362009,319090,348062,389633
631108,601370,578885,637979,703860,Jackson, TX,585577,580169,562315,579705,621281
