Name,Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng
Caldwell Community College and Technical Institute,Public,NC,Primarily in person,3581.0,1371,35.8545538,-81.4838898
Caldwell U.,Private,NJ,TBD,2189.0,2461,40.8339629,-74.2719702
Calhoun Community College,Public,AL,Primarily online,9736.0,1295,34.647351,-86.94927799999999
California Baptist U.,Private,CA,Fully in person,10486.0,1594,33.9284067,-117.4255596
California Christian College,Private,CA,TBD,13.0,1542,36.7500277,-119.7108224
California College of the Arts,Private,CA,Hybrid,1805.0,783,37.8362513,-122.2502897
California College San Diego,Private,CA,TBD,761.0,905,32.8352916,-117.1666412
California Institute of Technology,Private,CA,TBD,2233.0,1903,34.1376576,-118.125269
California Institute of the Arts,Private,CA,Primarily online,1506.0,1903,34.39268980000001,-118.5672229
California Jazz Conservatory,Private,CA,TBD,54.0,701,37.8712728,-122.2687187
California Lutheran U.,Private,CA,Primarily online,4383.0,866,34.2248993,-118.878853
California Polytechnic State U. at San Luis Obispo,Public,CA,Primarily online,22013.0,634,35.3050053,-120.6624942
California State Polytechnic U. at Pomona,Public,CA,Fully online,26598.0,1903,34.0500109,-117.815212
California State U. at Bakersfield,Public,CA,Primarily online,10816.0,2327,35.3486641,-119.1033448
California State U. at Chico,Public,CA,Primarily online,17578.0,414,39.7287566,-121.8476287
California State U. at Fresno,Public,CA,Primarily online,25137.0,1542,36.8133631,-119.7460947
California State U. at Fullerton,Public,CA,Fully online,40280.0,1182,33.8829226,-117.8869261
California State U. at Long Beach,Public,CA,Primarily online,37466.0,1903,33.7838235,-118.1140904
California State U. at Los Angeles,Public,CA,Fully online,28036.0,1903,34.0667698,-118.1684392
California State U. at Northridge,Public,CA,Primarily online,40212.0,1903,34.2410366,-118.5276745
California State U. at Sacramento,Public,CA,Primarily online,31902.0,667,38.5612918,-121.4240519
California State U. at San Bernardino,Public,CA,Primarily online,20238.0,1544,34.1817955,-117.3237219
California State U. at San Marcos,Public,CA,Primarily online,15972.0,905,33.1294938,-117.1595707
California State U. Maritime Academy,Public,CA,Primarily online,1046.0,823,38.0691862,-122.2302775
California State U.-Channel Islands,Public,CA,Primarily online,7488.0,866,34.1620556,-119.043463
California State U.-Dominguez Hills,Public,CA,Primarily online,16732.0,1903,33.8653106,-118.2590121
California State U.-East Bay,Public,CA,Primarily online,15628.0,701,37.6571459,-122.0574872
California State U.-Monterey Bay,Public,CA,Primarily online,7540.0,1048,36.6516548,-121.7977985
California State U.-Stanislaus,Public,CA,Primarily online,10577.0,1710,37.525248,-120.8553931
California U. of Pennsylvania,Public,PA,Hybrid,7310.0,364,40.063294,-79.8824041
Calumet College of Saint Joseph,Private,IN,Primarily in person,773.0,1459,41.669403,-87.4956665
Calvary U.,Private,MO,Hybrid,346.0,619,38.837821,-94.5446979
Calvin College,Private,MI,Primarily in person,3732.0,1119,42.9295085,-85.5889329
Cambridge College,Private,MA,Fully online,2234.0,2697,42.3814398,-71.07293039999999
Camden County College,Public,NJ,Primarily online,9675.0,1647,39.7853873,-75.038207
Cameron U.,Public,OK,Primarily in person,4290.0,629,34.6049663,-98.436244
Campbell U.,Private,NC,Primarily online,6448.0,875,35.4083451,-78.7394405
